graph_name,graph_family,directed,source,mode,threads,alpha,beta,runtime_seconds,cpu_time_seconds,total_visited,total_levels,total_edge_examinations,switch_to_bottom_up_level,switch_back_to_top_down_level,top_down_levels,bottom_up_levels,frontier_at_switch,visited_fraction_at_switch,speedup,efficiency
coPapersDBLP,reference_graphs,0,0,hybrid_omp,2,6.0,24.0,0.029771390,0.064523000,540486,15,7895252,5,8,12,3,176764,0.390262,4.0416,2.0208
coPapersDBLP,reference_graphs,0,0,hybrid_omp,2,14.0,16.0,0.039451016,0.081834000,540486,15,15508276,4,8,11,4,32337,0.063215,2.8788,1.4394
coPapersDBLP,reference_graphs,0,0,hybrid_omp,2,6.0,32.0,0.030710446,0.065090000,540486,15,7743606,5,9,11,4,176764,0.390262,3.5604,1.7802
coPapersDBLP,reference_graphs,0,0,hybrid_omp,2,14.0,24.0,0.046046792,0.097686000,540486,15,15508276,4,8,11,4,32337,0.063215,2.4341,1.2170
coPapersDBLP,reference_graphs,0,0,hybrid_omp,2,6.0,48.0,0.024773622,0.052730000,540486,15,7743606,5,9,11,4,176764,0.390262,3.8920,1.9460
coPapersDBLP,reference_graphs,0,0,hybrid_omp,2,14.0,32.0,0.062756897,0.136639000,540486,15,15356630,4,9,10,5,32337,0.063215,1.7159,0.8580
coPapersDBLP,reference_graphs,0,0,hybrid_omp,2,6.0,64.0,0.029568341,0.061883000,540486,15,7743606,5,9,11,4,176764,0.390262,3.5742,1.7871
coPapersDBLP,reference_graphs,0,0,hybrid_omp,2,14.0,48.0,0.067331928,0.143110000,540486,15,15356630,4,9,10,5,32337,0.063215,2.5969,1.2984
coPapersDBLP,reference_graphs,0,0,hybrid_omp,2,8.0,8.0,0.045415466,0.095439000,540486,15,15508276,4,8,11,4,32337,0.063215,2.3049,1.1524
coPapersDBLP,reference_graphs,0,0,hybrid_omp,2,14.0,64.0,0.049551180,0.105398000,540486,15,15356630,4,9,10,5,32337,0.063215,2.7372,1.3686
coPapersDBLP,reference_graphs,0,0,hybrid_omp,2,8.0,16.0,0.057446518,0.122053000,540486,15,15508276,4,8,11,4,32337,0.063215,2.2258,1.1129
coPapersDBLP,reference_graphs,0,0,hybrid_omp,2,16.0,8.0,0.044398838,0.096151000,540486,15,15508276,4,8,11,4,32337,0.063215,2.1396,1.0698
coPapersDBLP,reference_graphs,0,0,hybrid_omp,2,8.0,24.0,0.052454474,0.112782000,540486,15,15508276,4,8,11,4,32337,0.063215,2.0990,1.0495
coPapersDBLP,reference_graphs,0,0,hybrid_omp,2,16.0,16.0,0.049247470,0.105460000,540486,15,15508276,4,8,11,4,32337,0.063215,3.5100,1.7550
coPapersDBLP,reference_graphs,0,0,hybrid_omp,2,8.0,32.0,0.047623279,0.099754000,540486,15,15356630,4,9,10,5,32337,0.063215,2.0168,1.0084
coPapersDBLP,reference_graphs,0,0,hybrid_omp,2,16.0,24.0,0.047208566,0.099921000,540486,15,15508276,4,8,11,4,32337,0.063215,2.6489,1.3244
coPapersDBLP,reference_graphs,0,0,hybrid_omp,2,8.0,48.0,0.050573296,0.108937000,540486,15,15356630,4,9,10,5,32337,0.063215,2.2376,1.1188
coPapersDBLP,reference_graphs,0,0,hybrid_omp,2,16.0,32.0,0.043797084,0.092305000,540486,15,15356630,4,9,10,5,32337,0.063215,2.1350,1.0675
coPapersDBLP,reference_graphs,0,0,hybrid_omp,2,8.0,64.0,0.046752953,0.101624000,540486,15,15356630,4,9,10,5,32337,0.063215,2.0666,1.0333
coPapersDBLP,reference_graphs,0,0,hybrid_omp,2,16.0,48.0,0.047090552,0.098996000,540486,15,15356630,4,9,10,5,32337,0.063215,2.3786,1.1893
coPapersDBLP,reference_graphs,0,0,hybrid_omp,2,10.0,8.0,0.044519630,0.093325000,540486,15,15508276,4,8,11,4,32337,0.063215,2.6287,1.3143
coPapersDBLP,reference_graphs,0,0,hybrid_omp,2,16.0,64.0,0.063613509,0.134400000,540486,15,15356630,4,9,10,5,32337,0.063215,1.8260,0.9130
coPapersDBLP,reference_graphs,0,0,hybrid_omp,2,10.0,16.0,0.043065135,0.091390000,540486,15,15508276,4,8,11,4,32337,0.063215,2.3535,1.1767
coPapersDBLP,reference_graphs,0,0,hybrid_omp,2,20.0,8.0,0.043049440,0.089539000,540486,15,15508276,4,8,11,4,32337,0.063215,2.2171,1.1086
coPapersDBLP,reference_graphs,0,0,hybrid_omp,2,10.0,24.0,0.045995144,0.098189000,540486,15,15508276,4,8,11,4,32337,0.063215,2.1194,1.0597
coPapersDBLP,reference_graphs,0,0,hybrid_omp,2,20.0,16.0,0.044254192,0.093189000,540486,15,15508276,4,8,11,4,32337,0.063215,2.1747,1.0873
coPapersDBLP,reference_graphs,0,0,hybrid_omp,2,10.0,32.0,0.043679653,0.094582000,540486,15,15356630,4,9,10,5,32337,0.063215,2.4268,1.2134
coPapersDBLP,reference_graphs,0,0,hybrid_omp,2,20.0,24.0,0.039066826,0.081079000,540486,15,15508276,4,8,11,4,32337,0.063215,2.3895,1.1948
coPapersDBLP,reference_graphs,0,0,hybrid_omp,2,10.0,48.0,0.041714424,0.087725000,540486,15,15356630,4,9,10,5,32337,0.063215,2.5562,1.2781
coPapersDBLP,reference_graphs,0,0,hybrid_omp,2,20.0,32.0,0.056932485,0.120264000,540486,15,15356630,4,9,10,5,32337,0.063215,2.2022,1.1011
