impl,graph_name,variant_or_mode,threads,runtime_seconds,total_levels,delta_unreached,source,directed,alpha,beta
ours,coPapersDBLP,hybrid_omp,4,0.023292179,15,,0,0,16.0,24.0
ours,coPapersDBLP,hybrid_omp,8,0.036503985,15,,0,0,8.0,16.0
ours,coPapersDBLP,hybrid_omp,4,0.026244852,15,,0,0,16.0,32.0
ours,coPapersDBLP,hybrid_omp,8,0.026310102,15,,0,0,8.0,24.0
ours,coPapersDBLP,hybrid_omp,4,0.022809383,15,,0,0,16.0,48.0
ours,coPapersDBLP,hybrid_omp,8,0.034194669,15,,0,0,8.0,32.0
ours,coPapersDBLP,hybrid_omp,4,0.026329982,15,,0,0,16.0,64.0
ours,coPapersDBLP,hybrid_omp,8,0.018558392,15,,0,0,8.0,48.0
ours,coPapersDBLP,hybrid_omp,4,0.026195012,15,,0,0,20.0,8.0
ours,coPapersDBLP,hybrid_omp,8,0.028774113,15,,0,0,8.0,64.0
ours,coPapersDBLP,hybrid_omp,4,0.023531841,15,,0,0,20.0,16.0
ours,coPapersDBLP,hybrid_omp,8,0.033553682,15,,0,0,10.0,8.0
ours,coPapersDBLP,hybrid_omp,4,0.021764004,15,,0,0,20.0,24.0
ours,coPapersDBLP,hybrid_omp,8,0.053582026,15,,0,0,10.0,16.0
ours,coPapersDBLP,hybrid_omp,4,0.026304870,15,,0,0,20.0,32.0
ours,coPapersDBLP,hybrid_omp,8,0.035256490,15,,0,0,10.0,24.0
ours,coPapersDBLP,hybrid_omp,4,0.028176289,15,,0,0,20.0,48.0
